Type,Code,Name,Return,Drawdown,Sharpe,Trades
Stock,002475,立讯精密,33.61,-33.14,0.56,19
Stock,600276,恒瑞医药,7.71,-13.58,0.2,15
Stock,603259,药明康德,-13.26,-34.79,-0.26,15
Stock,601138,工业富联,-33.92,-53.02,-0.44,15
Stock,603993,洛阳钼业,-3.36,-34.83,-0.05,10
Stock,603986,兆易创新,115.31,-27.7,1.36,12
Stock,002371,北方华创,63.14,-22.94,0.94,8
Stock,000858,五 粮 液,11.36,-24.41,0.27,16
Stock,601288,农业银行,38.57,-17.91,1.13,17
Stock,000651,格力电器,17.17,-10.77,0.54,17
